ID,Ilce_Adi,Mahalle_Adi,Bufe_Adi,Enlem,Boylam
430,BAYRAMPAŞA,ALTINTEPSİ,Altıntepsi 2 Büfe,41.0388544758236,28.9023435943595
431,BAŞAKŞEHİR,BAHÇEŞEHİR 2. KISIM,Boğazköy Büfe,41.0754879986248,28.6677590001517
432,ESENLER,TURGUT REİS,Turgut Reis Büfe,41.0624969981206,28.8634430001471
433,BEYLİKDÜZÜ,GÜRPINAR,Gürpınar Büfe,40.9922479982085,28.6106340003245
434,BAŞAKŞEHİR,KAYABAŞI,Kayaşehir 5 Büfe,41.1048229978668,28.7635689994459
435,ESENYURT,BALIKYOLU,Esenyurt İnönü Büfe,41.0327063972564,28.6889329591941
436,BAŞAKŞEHİR,KAYABAŞI,Fenertepe 2 Büfe,41.1333989979064,28.7879279999329
437,KÜÇÜKÇEKMECE,İSTASYON,Bezirganbahçe Büfe,41.0261001708441,28.7714333053443
438,ATAŞEHİR,YENİŞEHİR,Yeşilyamaç Büfe,40.9904009978678,29.1475199995578
439,GAZİOSMANPAŞA,KAZIM KARABEKİR,Yeşilpınar,41.0769028781494,28.9166039059343
440,FATİH,RÜSTEMPAŞA,Eminönü Meydan Büfe,41.0181729983074,28.9709319999436
441,ÜSKÜDAR,ZEYNEP KAMİL,Çiçekçi Büfe,41.0131700367557,29.0208355048925
442,BAĞCILAR,SANCAKTEPE,Bağcılar Büfe,41.0354299978528,28.8543820003655
443,GAZİOSMANPAŞA,SARIGÖL,Sarıgöl 1 Büfe,41.0586265248877,28.9165308313094
444,BEYKOZ,KAVACIK,Kavacık Çiftlik Büfe,41.0927579979594,29.0855559996195
445,BEYLİKDÜZÜ,BARIŞ,Beylikdüzü Çiftlik Büfe,40.996954998584,28.6457199997865
446,BEYLİKDÜZÜ,BARIŞ,Beylikdüzü Cumhuriyet Büfe,40.9995829983694,28.6491890000881
447,KADIKÖY,KOZYATAĞI,Kozyatağı Şakacı,40.9725399984127,29.0954679997003
448,SULTANGAZİ,YUNUS EMRE,Gazi 4,41.0935462189103,28.8947621195882
449,PENDİK,YENİ,Plevne Büfe,40.8840449984722,29.2307399996204
450,BAHÇELİEVLER,BAHÇELİEVLER,Yayla Büfe,41.001628997947,28.8606880001135
451,GAZİOSMANPAŞA,YILDIZTABYA,Yıldıztabya 1 Büfe,41.0651725060386,28.9316004328492
452,BEYOĞLU,FETİHTEPE,Cemal Kamacı Büfe,41.0530359984043,28.9586289997637
453,ÜMRANİYE,ATAKENT,Atakent,41.0188659979798,29.1074360004674
454,KAĞITHANE,ÇELİKTEPE,Çeliktepe Büfe,41.0832066525523,29.0008942111545
455,ÜMRANİYE,ÇAKMAK,Sevgi Parkı,41.0158296439485,29.1284776727135
456,ATAŞEHİR,İÇERENKÖY,Çiftlikyolu Büfe,40.9764659982365,29.1075139994549
457,EYÜPSULTAN,ESENTEPE,Esentepe Büfe,41.0675127458995,28.9390876795085
458,KÜÇÜKÇEKMECE,FEVZİ ÇAKMAK,Sefaköy Büfe,41.0040214678902,28.7941795996375
459,BAŞAKŞEHİR,KAYABAŞI,Kayaşehir 3 Büfe,41.0998169984105,28.7631390002035
460,EYÜPSULTAN,YEŞİLPINAR,Çamlık Büfe,41.076653997861,28.9244030000589
461,FATİH,ATİKALİ,Camcı Yokuşu Büfe,41.0248179982414,28.9427579999302
462,SULTANBEYLİ,ADİL,S.beyli Pelit Büfe,40.9825848300577,29.2619078004447
463,BEYLİKDÜZÜ,ADNAN KAHVECİ,Adnan Kahveci 2 Büfe,41.0113589985485,28.6291039996103
464,ÜSKÜDAR,ALTUNİZADE,Koşuyolu Büfe,41.0119314742008,29.0390494574456
465,BAHÇELİEVLER,SİYAVUŞPAŞA,Siyavuşpaşa Büfe,40.9999719983836,28.8521880003591
466,BAYRAMPAŞA,İSMET PAŞA,Şifa 2 Büfe,41.0415679985095,28.903463000258
467,KÜÇÜKÇEKMECE,İNÖNÜ,İnönü 3,41.0176407603496,28.803069366405
